     Index       y_measurement           y_fitting        descriptor_1
       102    0.5868000000E-01    0.3142914592E-01   -0.8684236403E+01
       103    0.3093000000E-01    0.2495878196E-01    0.8833806359E+01
       104    0.6829000000E-01    0.3256527200E-01   -0.1176021566E+02
       105    0.2672000000E-01    0.1755613260E-01    0.2887594447E+02
       106    0.7944000000E-01    0.3335070126E-01   -0.1388670861E+02
       107    0.2526000000E-01    0.2007524323E-01    0.2205563451E+02
       108    0.7875000000E-01    0.3340160223E-01   -0.1402451932E+02
       109    0.3601000000E-01    0.2687752482E-01    0.3638948758E+01
       110    0.6788000000E-01    0.3279215579E-01   -0.1237448712E+02
       111    0.2546000000E-01    0.2204694387E-01    0.1671739754E+02
       112    0.2946000000E-01   -0.2173736988E-01    0.1352602625E+03
       113    0.2678000000E-01    0.1833131527E-02    0.7144483350E+02
       114    0.7814000000E-01    0.3346513326E-01   -0.1419652497E+02
       115    0.4989000000E-01    0.3033918022E-01   -0.5733233043E+01
       116    0.5844000000E-01    0.3173980087E-01   -0.9525312246E+01
       117    0.2740000000E-01    0.2350286944E-01    0.1277558429E+02
       118    0.7761000000E-01    0.3357284621E-01   -0.1448815000E+02
       119    0.4244000000E-01    0.2885823716E-01   -0.1723686760E+01
       120    0.6755000000E-01    0.3303220737E-01   -0.1302440943E+02
       121    0.3096000000E-01    0.2554330530E-01    0.7251251662E+01
       122    0.7715000000E-01    0.3372773593E-01   -0.1490750273E+02
       123    0.5826000000E-01    0.3208245803E-01   -0.1045303174E+02
       124    0.2614000000E-01    0.8040848374E-02    0.5463788880E+02
       125    0.4221000000E-01    0.1328539403E-01    0.4043866049E+02
       126    0.9002000000E-01    0.3416380632E-01   -0.1608813179E+02
       127    0.3711000000E-01    0.1564008851E-01    0.3406349537E+02
       128    0.4980000000E-01    0.3057123296E-01   -0.6361499089E+01
       129    0.6730000000E-01    0.3318489532E-01   -0.1343780102E+02
       130    0.8927000000E-01    0.3420732043E-01   -0.1620594309E+02
       131    0.3239000000E-01    0.1858110386E-01    0.2610090887E+02
       132    0.8856000000E-01    0.3424508314E-01   -0.1630818292E+02
       133    0.3600000000E-01    0.2733749122E-01    0.2393622965E+01
       134    0.7674000000E-01    0.3387988616E-01   -0.1531943847E+02
       135    0.2869000000E-01    0.1101675985E-05    0.7640492191E+02
       136    0.2978000000E-01    0.1827143790E-01    0.2693930709E+02
       137    0.8790000000E-01    0.3428534943E-01   -0.1641720097E+02
       138    0.2694000000E-01    0.1890072293E-01    0.2523556334E+02
       139    0.8730000000E-01    0.3434364565E-01   -0.1657503378E+02
       140    0.2540000000E-01    0.2035706121E-01    0.2129263271E+02
       141    0.8674000000E-01    0.3442954889E-01   -0.1680761059E+02
       142    0.4243000000E-01    0.2920158425E-01   -0.2653274176E+01
       143    0.7642000000E-01    0.3397278829E-01   -0.1557096428E+02
       144    0.5815000000E-01    0.3213845897E-01   -0.1060465023E+02
       145    0.6710000000E-01    0.3319869848E-01   -0.1347517207E+02
       146    0.2750000000E-01    0.1060927936E-01    0.4768404755E+02
       147    0.2557000000E-01    0.2285139205E-01    0.1453941224E+02
       148    0.8623000000E-01    0.3454195835E-01   -0.1711195108E+02
       149    0.2746000000E-01    0.2416619427E-01    0.1097968026E+02
       150    0.8578000000E-01    0.3466873771E-01   -0.1745519705E+02
       151    0.4976000000E-01    0.3075010092E-01   -0.6845771148E+01
       152    0.7615000000E-01    0.3404154402E-01   -0.1575711546E+02
       153    0.3100000000E-01    0.2583988592E-01    0.6448281061E+01
       154    0.8538000000E-01    0.3476748212E-01   -0.1772254039E+02
       155    0.6696000000E-01    0.3322144370E-01   -0.1353675311E+02
       156    0.3603000000E-01    0.2763264875E-01    0.1594505297E+01
       157    0.3359000000E-01   -0.1919684445E-01    0.1283819735E+03
       158    0.8503000000E-01    0.3480968633E-01   -0.1783680524E+02
       159    0.5809000000E-01    0.3214875183E-01   -0.1063251739E+02
       160    0.7593000000E-01    0.3413236858E-01   -0.1600301640E+02
       161    0.4244000000E-01    0.2931382675E-01   -0.2957162630E+01
       162    0.8473000000E-01    0.3483374886E-01   -0.1790195281E+02
       163    0.6688000000E-01    0.3331805333E-01   -0.1379831671E+02
       164    0.7578000000E-01    0.3423862708E-01   -0.1629070360E+02
       165    0.4239000000E-01    0.1268073609E-01    0.4207572815E+02
       166    0.4976000000E-01    0.3078619673E-01   -0.6943497954E+01
       167    0.8449000000E-01    0.3488097562E-01   -0.1802981583E+02
       168    0.2696000000E-01    0.1056819895E-01    0.4779526978E+02
       169    0.9506000000E-01    0.3488523496E-01   -0.1804134769E+02
       170    0.3729000000E-01    0.1187147055E-01    0.4426675611E+02
       171    0.9464000000E-01    0.3491752439E-01   -0.1812876899E+02
       172    0.3255000000E-01    0.1932591475E-01    0.2408438722E+02
       173    0.9425000000E-01    0.3495619809E-01   -0.1823347525E+02
       174    0.2992000000E-01    0.1924158196E-01    0.2431271216E+02
       175    0.9387000000E-01    0.3499653565E-01   -0.1834268627E+02
       176    0.2709000000E-01    0.2017766395E-01    0.2177833783E+02
       177    0.9351000000E-01    0.3503338309E-01   -0.1844244804E+02
       178    0.2550000000E-01    0.2094454350E-01    0.1970206687E+02
       179    0.3053000000E-01   -0.1044621883E-01    0.1046902871E+03
       180    0.9319000000E-01    0.3506218227E-01   -0.1852041974E+02
       181    0.5806000000E-01    0.3225974065E-01   -0.1093301161E+02
       182    0.8429000000E-01    0.3493697260E-01   -0.1818142362E+02
       183    0.2565000000E-01    0.2357710404E-01    0.1257459948E+02
       184    0.9288000000E-01    0.3508115468E-01   -0.1857178619E+02
       185    0.7569000000E-01    0.3433586577E-01   -0.1655397033E+02
       186    0.2751000000E-01    0.2449438160E-01    0.1009113677E+02
       187    0.9260000000E-01    0.3509213235E-01   -0.1860150743E+02
       188    0.3105000000E-01    0.2619649644E-01    0.5482783858E+01
