     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
       115    0.4989000000E-01    0.3824081720E-01   -0.6957253488E+02   -0.4421253324E+01
       116    0.5844000000E-01    0.3940168623E-01   -0.7082323499E+02   -0.4490603928E+01
       117    0.2740000000E-01    0.3147451118E-01   -0.6259628891E+02   -0.4160671393E+01
       118    0.7761000000E-01    0.4236000948E-01   -0.7248091410E+02   -0.3966865838E+01
       119    0.4244000000E-01    0.3686970427E-01   -0.6772633770E+02   -0.4170365561E+01
       120    0.6755000000E-01    0.4081412705E-01   -0.7194699275E+02   -0.4392726889E+01
       121    0.3096000000E-01    0.3432319799E-01   -0.6365146543E+02   -0.3408559537E+01
       122    0.7715000000E-01    0.4231435607E-01   -0.7264113682E+02   -0.4060037834E+01
       123    0.5826000000E-01    0.3971961572E-01   -0.7117954936E+02   -0.4515908922E+01
       124    0.2614000000E-01    0.1488136216E-01   -0.5873280006E+02   -0.9586993534E+01
       125    0.4221000000E-01    0.1625590117E-01   -0.5756098177E+02   -0.8454287727E+01
       126    0.9002000000E-01    0.4573856748E-01   -0.7333097962E+02   -0.2891044312E+01
       127    0.3711000000E-01    0.2120233264E-01   -0.5883902183E+02   -0.6894550128E+01
       128    0.4980000000E-01    0.3857796903E-01   -0.6988588471E+02   -0.4418546832E+01
       129    0.6730000000E-01    0.4091120992E-01   -0.7215678656E+02   -0.4446702525E+01
       130    0.8927000000E-01    0.4544534715E-01   -0.7333653008E+02   -0.3020741114E+01
       131    0.3239000000E-01    0.2956138318E-01   -0.6428298860E+02   -0.5762727477E+01
       132    0.8856000000E-01    0.4516872061E-01   -0.7334275156E+02   -0.3143549315E+01
       133    0.3600000000E-01    0.3531128444E-01   -0.6523380224E+02   -0.3704711151E+01
       134    0.7674000000E-01    0.4230633895E-01   -0.7281036521E+02   -0.4141013029E+01
       135    0.2869000000E-01    0.1292585182E-01   -0.5765392476E+02   -0.9940926627E+01
       136    0.2978000000E-01    0.2609152681E-01   -0.6029975386E+02   -0.5443297726E+01
       137    0.8790000000E-01    0.4491492263E-01   -0.7335736929E+02   -0.3260302998E+01
       138    0.2694000000E-01    0.2690532858E-01   -0.6049333407E+02   -0.5179043255E+01
       139    0.8730000000E-01    0.4469758063E-01   -0.7339326703E+02   -0.3370992787E+01
       140    0.2540000000E-01    0.2801825518E-01   -0.6102043957E+02   -0.4937812100E+01
       141    0.8674000000E-01    0.4452632111E-01   -0.7345751870E+02   -0.3474683669E+01
       142    0.4243000000E-01    0.3765506501E-01   -0.6838097126E+02   -0.4129585089E+01
       143    0.7642000000E-01    0.4228472607E-01   -0.7293662372E+02   -0.4208205854E+01
       144    0.5815000000E-01    0.3978795294E-01   -0.7130223364E+02   -0.4542458072E+01
       145    0.6710000000E-01    0.4090908535E-01   -0.7225234237E+02   -0.4491383871E+01
       146    0.2750000000E-01    0.1554964883E-01   -0.5717352484E+02   -0.8583117070E+01
       147    0.2557000000E-01    0.3112695377E-01   -0.6253120293E+02   -0.4281583321E+01
       148    0.8623000000E-01    0.4440307197E-01   -0.7354847319E+02   -0.3569783482E+01
       149    0.2746000000E-01    0.3368534800E-01   -0.6302973875E+02   -0.3400441778E+01
       150    0.8578000000E-01    0.4432006023E-01   -0.7365684036E+02   -0.3655408530E+01
       151    0.4976000000E-01    0.3884790486E-01   -0.7014791805E+02   -0.4421488031E+01
       152    0.7615000000E-01    0.4227073403E-01   -0.7304274360E+02   -0.4262871369E+01
       153    0.3100000000E-01    0.3549211708E-01   -0.6395051713E+02   -0.3038609424E+01
       154    0.8538000000E-01    0.4424003001E-01   -0.7374987806E+02   -0.3732720475E+01
       155    0.6696000000E-01    0.4093108236E-01   -0.7234898821E+02   -0.4526104080E+01
       156    0.3603000000E-01    0.3604193513E-01   -0.6568969993E+02   -0.3596644089E+01
       157    0.3359000000E-01    0.1477516659E-01   -0.5212815663E+02   -0.6608431995E+01
       158    0.8503000000E-01    0.4413601375E-01   -0.7380514834E+02   -0.3803138274E+01
       159    0.5809000000E-01    0.3983611722E-01   -0.7139910586E+02   -0.4565934519E+01
       160    0.7593000000E-01    0.4229566372E-01   -0.7316464602E+02   -0.4307886134E+01
       161    0.4244000000E-01    0.3804199530E-01   -0.6870588257E+02   -0.4110586785E+01
       162    0.8473000000E-01    0.4404023094E-01   -0.7385210684E+02   -0.3866179243E+01
       163    0.6688000000E-01    0.4102215024E-01   -0.7249717080E+02   -0.4554473102E+01
       164    0.7578000000E-01    0.4234510470E-01   -0.7329500636E+02   -0.4346144912E+01
       165    0.4239000000E-01    0.1413084521E-01   -0.5612491827E+02   -0.8718169011E+01
       166    0.4976000000E-01    0.3897755248E-01   -0.7028626849E+02   -0.4428624296E+01
       167    0.8449000000E-01    0.4398703342E-01   -0.7392108041E+02   -0.3920834961E+01
       168    0.2696000000E-01    0.1486124781E-01   -0.5671953515E+02   -0.8673736340E+01
       169    0.9506000000E-01    0.4680841889E-01   -0.7423105640E+02   -0.2839295853E+01
       170    0.3729000000E-01    0.1587889397E-01   -0.5527365648E+02   -0.7570290420E+01
