name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-17    0.03266    -696.99965    -630.71718    -80.55337    58.40598    347.86625    2799.81895    0.02152    0.56363    0.04282    0.10246    0.99498    61.5829
bridge-10-170    0.02507    -702.59975    -654.3662    33.67994    65.76297    203.53302    2807.76942    4.00E-06    0.01032    0.0501    0.01996    0.47031    152.5911
bridge-10-171    0.06997    -709.28305    -659.72068    -50.13611    51.33847    165.98347    2820.98726    1.08068    0.79002    0.01229    0.00213    0.04301    226.02633
bridge-10-172    0.04246    -708.12743    -651.80175    15.18656    53.44335    178.70148    2814.89429    0.18036    0.38394    0.00335    0.02221    0.14258    219.74247
bridge-10-173    0.05025    -709.01119    -651.38941    -26.576    54.17001    173.72901    2817.22911    0.35674    0.54084    0.00438    0.01423    0.09611    225.81227
bridge-10-174    0.02535    -703.56774    -653.31426    34.02915    62.08004    198.46033    2808.32389    0.00248    0.00264    0.04337    0.01427    0.41622    168.37888
bridge-10-175    0.06932    -711.35529    -658.72204    -50.23831    52.12207    166.05723    2819.93373    0.96471    0.78488    0.01122    0.00234    0.04397    225.73876
bridge-10-176    0.03604    -707.18393    -651.39452    32.74817    52.11652    183.91712    2813.65932    0.09423    0.20403    0.00468    0.02954    0.20301    210.39046
bridge-10-177    0.05899    -711.22814    -653.52042    -40.80071    54.17415    169.47561    2820.48245    0.56602    0.7032    0.00655    0.0074    0.06503    227.59449
bridge-10-178    0.02735    -705.20842    -651.05839    38.30313    56.80045    194.3414    2812.09508    0.01593    0.03313    0.03643    0.01391    0.34876    184.70851
bridge-10-179    0.06876    -713.19616    -657.5595    -50.39207    52.77919    166.2075    2819.1849    0.85538    0.78155    0.01    0.00257    0.04521    225.24575
bridge-10-18    0.02652    -684.36173    -636.37461    -31.3181    80.53289    241.26502    2804.72783    0.01799    0.41012    0.03214    0.14801    0.56307    135.6695
bridge-10-180    0.04185    -704.25712    -655.29781    -30.1711    70.32616    225.44339    2801.29296    0.00153    0.19634    0.03104    0.02166    0.65228    60.11811
bridge-10-181    0.08294    -714.96651    -669.83899    -58.37637    44.72631    164.81886    2821.38007    1.70429    0.54697    0.01515    2.96E-04    0.04018    213.16404
bridge-10-182    0.03673    -704.68301    -658.4168    12.96897    64.50201    215.44296    2799.82568    0.00158    0.20351    0.02839    0.03058    0.66043    77.11117
bridge-10-183    0.08195    -715.27479    -668.47433    -58.17533    46.06548    164.66982    2822.22899    1.58771    0.59574    0.01463    3.01E-04    0.03916    214.42737
bridge-10-184    0.032    -703.32164    -657.48017    -25.32271    63.58405    213.42712    2802.20484    0.00164    0.13156    0.0438    0.0211    0.61575    95.74722
bridge-10-185    0.05004    -711.72939    -650.72424    -28.65032    54.17281    173.78956    2818.63817    0.27734    0.5513    0.00374    0.01491    0.10072    224.39836
bridge-10-186    0.08104    -715.71385    -666.63923    -57.99103    47.27487    164.58339    2823.47131    1.46665    0.63967    0.01395    3.16E-04    0.03847    215.41147
bridge-10-187    0.02952    -702.87087    -653.86158    31.15033    63.02273    212.35492    2804.50326    0.00146    0.09138    0.04945    0.02188    0.59195    113.55375
bridge-10-188    0.0802    -716.41103    -664.76507    -57.82601    48.35872    164.55988    2824.39728    1.33902    0.68451    0.01313    3.40E-04    0.03809    216.13027
bridge-10-189    0.04235    -710.1688    -651.83934    9.64682    53.02135    178.6575    2814.6087    0.15415    0.38979    0.00265    0.02306    0.14942    218.33479
bridge-10-19    0.02992    -692.84148    -637.01398    -63.28087    74.42135    303.31189    2801.36181    0.02342    0.59103    0.04291    0.10943    0.91836    78.82417
bridge-10-190    0.05868    -713.54258    -652.97957    -41.63219    54.42873    169.68889    2820.55291    0.44972    0.71927    0.00554    0.00789    0.0679    226.38104
bridge-10-191    0.03093    -707.72493    -651.10477    39.2898    51.13662    188.82059    2812.86893    0.03607    0.11571    0.01789    0.02424    0.27642    198.06893
bridge-10-192    0.06829    -714.61695    -656.93585    -50.56717    53.32243    166.43893    2819.07635    0.75048    0.78261    0.00862    0.00284    0.04664    224.56568
bridge-10-193    0.02672    -702.92651    -652.53756    41.40765    63.68373    211.27486    2805.67804    0.0013    0.0356    0.06371    0.01515    0.51833    132.75879
